,title,image,recipe keys,personal points,calories,summary
417,Maple Roasted Butternut Squash,https://www.skinnytaste.com/wp-content/uploads/2020/10/Maple-Roasted-Butternut-Squash-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",3,104,"Maple Roasted Butternut Squash, a simple fall side dish with 3 ingredients; butternut squash, pure maple syrup, and oil, plus salt and pepper!"
418,Pumpkin Cream Cheese Muffins,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-1.jpg,"['Freezer Meals', 'Kid Friendly', 'Vegetarian Meals']",8,170,"Pumpkin Cream Cheese Muffins are moist and perfectly spiced! A delicious fall breakfast made with canned pumpkin, pumpkin spice, and a cream cheese swirl topping."
419,Creamy Sausage and Potato Soup,https://www.skinnytaste.com/wp-content/uploads/2022/09/Creamy-Potato-and-Sausage-Soup-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly']",7,402,"This easy sausage and potato soup is hearty, healthy and dairy-free, made creamy by pureeing cannellini beans."
420,Parmesan-Herb Baked Salmon,https://www.skinnytaste.com/wp-content/uploads/2022/09/Parmesan-Herb-Baked-Salmon-6-2.jpg,"['Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes']",2,256,This easy Parmesan Herb Baked Salmon recipe is flaky and tender with incredible flavor – perfect for company or busy weeknights.
421,Pumpkin Overnight Oats,https://www.skinnytaste.com/wp-content/uploads/2012/09/Skinny-Pumpkin-Overnight-Oats-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Vegetarian Meals']",5,269,"Pumpkin Overnight Oats is a healthy plant-based breakfast made with my homemade pumpkin butter, oat milk, chia and spices, refrigerated overnight and topped with banana and nuts/seeds. No cooking required!"
422,Avocado Toast with Halloumi and Egg,https://www.skinnytaste.com/wp-content/uploads/2022/09/Avocado-Toast-4.jpg,"['Under 30 Minutes', 'Vegetarian Meals']",7,295,"Avocado Toast with Halloumi and Soft Boiled Egg is a fresh spin on avocado toast made with roasted peppers, 7-minute soft-boiled eggs, and sunflower seeds."
423,Chicken Enchilada Stuffed Zucchini Boats,https://www.skinnytaste.com/wp-content/uploads/2012/08/Chicken-Enchilada-Stuffed-Zucchini-Boats-7.jpg,"['Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Low Carb']",3,232,"Chicken Enchilada Stuffed Zucchini Boats filled with shredded chicken, enchilada sauce, cheese, and scallions is a tasty twist on a Mexican favorite. Serve them with cilantro lime rice to make it a meal!"
424,15-Minute Protein Chia Seed Cereal,https://www.skinnytaste.com/wp-content/uploads/2022/09/Protein-Chia-Seed-Cereal-4.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",5,318,"The viral chia seed cereal, only with a scoop of protein! Makes a great high protein breakfast or snack, just 4 ingredients, 15 minutes!"
425,Fish Taco Bowls,https://www.skinnytaste.com/wp-content/uploads/2022/09/Fish-Taco-Bowls-8.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",4,264,"If you need a high protein, low-carb dish you can whip up in under 20 minutes, these Fish Taco Bowls are it! Air fryer or saute 6 minutes!"
426,Spaghetti and Meatball Soup,https://www.skinnytaste.com/wp-content/uploads/2011/12/Meatball-and-Spaghetti-Soup-8.jpg,"['Freezer Meals', 'Kid Friendly', 'Under 30 Minutes']",6,213,"If you need back to school dinner ideas, what can be more kid friendly than a bowl of Spaghetti and Meatball Soup made with turkey meatballs cooked in a light tomato broth!"
427,Heirloom Tomato Galette,https://www.skinnytaste.com/wp-content/uploads/2022/09/Heirloom-Tomato-Galette-8.jpg,"['Kid Friendly', 'Vegetarian Meals']",6,153,"This Heirloom Tomato Galette is delicious and deceptively easy to make with refrigerated pie dough, summer tomatoes, shallots and pesto."
428,"Grilled Chicken Panini with Zucchini, Tomato, and Mozzarella",https://www.skinnytaste.com/wp-content/uploads/2022/08/Chicken-Panini-3.jpg,"['High Protein Recipes', 'Kid Friendly', 'Under 30 Minutes']",11,433,"This delicious Grilled Chicken Panini with Zucchini, Tomato, and Mozzarella highlights end-of-summer vegetables on sour dough bread."
429,Chicken Caprese Skillet,https://www.skinnytaste.com/wp-content/uploads/2020/08/Caprese-Chicken-Skillet-4.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb']",9,419,"This Chicken Caprese Skillet is topped with a honey balsamic reduction and fresh basil, the perfect way to use fresh summer tomatoes."
430,Air Fryer Sweet Plantains (Maduros),https://www.skinnytaste.com/wp-content/uploads/2022/08/Air-Fryer-Plantains-5.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",4,109,Air Fryer Sweet Plantains or Maduros are an easy and healthy way to make this classic Latin side dish.
431,Three-Cheese Zucchini Quiche,https://www.skinnytaste.com/wp-content/uploads/2022/08/3-Cheese-Zucchini-Quiche-5.jpg,['Freezer Meals'],7,307,"This delicious Three-Cheese Zucchini Quiche, made lighter without heavy cream, is perfect for end-of-summer zucchini for breakfast,  brunch or lunch."
432,Raspberry Coconut Chia Pudding Popsicles,https://www.skinnytaste.com/wp-content/uploads/2012/08/Raspberry-Coconut-Chia-Pudding-Pops-_FINAL06.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'Low Carb', 'Vegetarian Meals']",2,74,"These easy chia pudding popsicles with coconut and raspberries are perfect as a healthy snack or dessert, even breakfast on a hot summer morning!"
433,Creamy Corn Soup with Queso Fresco,https://www.skinnytaste.com/wp-content/uploads/2013/07/Corn-Soup-with-Queso-Fresco-7.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",7,206,"This creamy corn soup is sweet and savory made with fresh sweet summer corn, thickened with a potato and topped with salty queso fresco or cotija cheese."
434,Tuna Tartare,https://www.skinnytaste.com/wp-content/uploads/2022/08/Tuna-Tartare-with-Cucumber-6-1.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",1,114,"Tuna tartare may sound fancy, but it’s really easy to make! Combine fresh sushi grade tuna, cucumber, avocado, scallions, and the sauce ingredients and serve with baked wonton chips."
435,Tortellini Salad,https://www.skinnytaste.com/wp-content/uploads/2022/08/Tortellini-Salad-4.jpg,['Kid Friendly'],6,192,"This easy garden Tortellini Salad is the perfect BBQ side dish made with three-cheese cheese tortellini pasta, summer tomatoes, broccoli florets, and black olives."
436,BLT Roll Ups with Turkey and Avocado,https://www.skinnytaste.com/wp-content/uploads/2019/07/BLT-Roll-Ups-with-Turkey-and-Avocado-8.jpg,"['Kid Friendly', 'Under 30 Minutes']",9,341,Easy BLT Roll Ups with Turkey and Avocado are delicious and perfect for school lunch.
437,Baked Wonton Chips,https://www.skinnytaste.com/wp-content/uploads/2022/08/Baked-Wonton-Chips-5.jpg,"['Dairy Free Recipes', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",2,70,"Make these easy, crispy baked wonton chips the next time you’re serving tuna tartare, poke bowls, or your favorite dip or salsa."
438,Lentil Salad,https://www.skinnytaste.com/wp-content/uploads/2014/07/Lentil-Salad-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Vegetarian Meals']",1,181,"This healthy Lentil Salad with cooked lentils and diced carrots, celery, bell pepper, onion, parsley, and lemon juice is perfect for making ahead for lunch as the flavors only get better overnight."
439,Air Fryer Popcorn Chicken,https://www.skinnytaste.com/wp-content/uploads/2022/08/Air-Fryer-Popcorn-Chicken-5.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'High Protein Recipes', 'Kid Friendly']",5,283,"This easy Air Fryer Popcorn Chicken recipe is kid-friendly, lighter and healthier than your typical fast-food version and a fun way to prepare chicken breast!"
440,Homemade Kansas City Style BBQ Sauce,https://www.skinnytaste.com/wp-content/uploads/2012/04/Kansas-City-BBQ-Sauce-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Vegetarian Meals']",2,65,"Homemade sweet and spicy Kansas City BBQ sauce made with tomato sauce, honey, molasses, vinegar and spices."
441,Easy Zucchini Casserole,https://www.skinnytaste.com/wp-content/uploads/2008/08/Zucchini-Casserole-6.jpg,"['Kid Friendly', 'Vegetarian Meals']",2,83,"This easy Zucchini Casserole is perfect for bringing to potlucks all summer. Just mix the ingredients, bake, and enjoy!"
442,Pineapple Chia with Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2022/07/Pineapple-Chia-with-Cottage-Cheese-6.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Vegetarian Meals']",7,295,"Pineapple Chia with Cottage Cheese, made with four ingredients, is an easy high-protein vegetarian breakfast or snack idea."
443,Scallops with Corn and Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2022/07/Seared-Scallops-with-Creamy-Corn-Tomatoes-and-Chives-6.jpg,"['Gluten Free', 'Under 30 Minutes']",11,269,"Scallops pair beautifully with sweet summer corn and tomatoes, made creamy with Boursin cheese. Just 6 ingredients, not counting salt, pepper, and olive oil."
444,Giant Zucchini Parmesan,https://www.skinnytaste.com/wp-content/uploads/2022/07/Giant-Zucchini-Parmesan-9.jpg,"['Air Fryer Recipes', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",5,242,"If you have a giant zucchini in your garden and don’t know what to do with it, make this Giant Zucchini Parmesan – it’s so good!"
445,Corn Tomato Avocado Salad,https://www.skinnytaste.com/wp-content/uploads/2018/07/Corn-Tomato-Avocado-Salad-1-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",2,128,"This Corn Tomato Avocado Salad is summer in a bowl! The perfect side dish with anything you’re grilling, or double the portion as a main dish."
446,Peach Pie Cottage Cheese Bowls,https://www.skinnytaste.com/wp-content/uploads/2022/07/Peach-Pie-Cottage-Cheese-Bowls-3.jpg,"['High Protein Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",5,272,"Peach Pie Cottage Cheese Bowls is a delicious, high protein breakfast made with fresh, ripe summer peaches."
447,Gandules Guisados (Stewed Pigeon Peas),https://www.skinnytaste.com/wp-content/uploads/2022/07/Gandules-4.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",1,131,"Quick and easy recipe for gandules using canned pigeon peas simmered in a tomato-based sauce. An inexpensive, flavorful Latin side dish!"
448,Puerto Rican Sofrito Recipe,https://www.skinnytaste.com/wp-content/uploads/2022/07/Puerto-Rican-Sofrito-5.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",0,27,"This Puerto Rican Sofrito recipe is the base for so many dishes, like soups, stews, roast pork, bistec, and beans, made with fresh cilantro, garlic, onions, bell peppers, and other ingredients."
449,Pollo Sabroso (Broiled or Grilled),https://www.skinnytaste.com/wp-content/uploads/2010/06/Pollo-Sabroso-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Whole30 Recipes']",5,181,My family’s favorite chicken recipe is this Broiled or Grilled Pollo Sabroso seasoned with Latin flavors to create the most delicious grilled chicken thighs.
450,"Summer Cavatelli Pasta with Corn, Tomatoes and Zucchini",https://www.skinnytaste.com/wp-content/uploads/2017/07/Summer-Cavatelli-with-Corn-Tomatoes-and-Zucchini-8.jpg,"['Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",7,297.5,"This summer pasta dish is fresh and delicious, made with sweet summer corn, cherry tomatoes, zucchini, basil and cavatelli pasta."
451,Bacon-Wrapped Air Fryer Chicken Breast,https://www.skinnytaste.com/wp-content/uploads/2022/07/Air-Fryer-Bacon-Wrapped-Chicken-Breast-5.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",6,332,Want the juiciest chicken breasts? Make this easy Bacon-Wrapped Air Fryer Chicken Breast recipe! Just 2 ingredients not counting salt and pepper!
452,"Black Bean, Avocado, Cucumber and Tomato Salad",https://www.skinnytaste.com/wp-content/uploads/2010/07/Black-Bean-Avocado-Cucumber-and-Tomato-Salad-4.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",1,94,"A little lime and cilantro make this Black Bean, Avocado, Cucumber, and Tomato Salad a perfect companion for air fryer chicken breast, grilled chicken or steak. You can also serve this with chips as a dip, or serve it over grilled salmon."
453,Greek 7 Layer Dip,https://www.skinnytaste.com/wp-content/uploads/2015/06/Greek-7-Layer-Dip-7.jpg,"['Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",2,93,"This 7 Layer Greek Dip is layered with hummus, garlic-lemon Greek yogurt topped with cucumbers, tomatoes, red onions, feta, and kalamata olives. Grab some pita chips and serve it at your next party!"
454,"Red, White and Blueberry Trifle",https://www.skinnytaste.com/wp-content/uploads/2015/06/low-fat-berry-trifle-550x756.jpg,"['Kid Friendly', 'Vegetarian Meals']",7,158,"A heavenly mixed berry trifle made with fresh summer blueberries and strawberries, white chocolate pudding, angel food cake, and whipped cream."
455,Air Fryer Baked Potato,https://www.skinnytaste.com/wp-content/uploads/2022/06/Air-Fryer-Baked-Potato_1-2.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals', 'Whole30 Recipes']",4,157,"Air Fryer Baked Potatoes with crispy, salted skins and fluffy insides turn out perfectly at a fraction of the time it would take in the oven."
456,Chickpea Milanese,https://www.skinnytaste.com/wp-content/uploads/2022/06/Chickpea-Milanese-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",7,320,"Vegetarian Chickpea Milanese made with a chickpea flour cutlet topped with arugula salad with canned chickpeas, tomatoes, and fresh lemon."
457,Peruvian Grilled Chicken Skewers,https://www.skinnytaste.com/wp-content/uploads/2022/06/Peruvian-Grilled-Chicken-7-scaled.jpg,[],6,289,"These Peruvian Grilled Chicken Skewers with Avocado Aji Verde Sauce are my favorite, so flavorful and great for summer grilling!"
458,Overnight Oats (How To Make),https://www.skinnytaste.com/wp-content/uploads/2012/06/Skinny-Overnight-Oats-in-a-Jar.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",2,236,"This easy overnight oats recipe is a fiber-rich, healthy breakfast that you can make ahead for busy mornings! The best part, there’s no cooking required!"
459,Broiled Fish with Tomato Caper Sauce,https://www.skinnytaste.com/wp-content/uploads/2009/03/Broiled-Tilapia-with-Tomato-Caper-Sauce-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes']",3,257,"Broiled Fish with Tomato Caper Sauce is an easy fish recipe with fresh tomatoes, garlic, shallots and capers that’s ready in under 20 minutes."
460,Mango Coconut Chia Pudding,https://www.skinnytaste.com/wp-content/uploads/2012/06/Mango-Coconut-Chia-Pudding-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Vegetarian Meals']",5,227,"This Mango Coconut Chia Pudding is made with coconut milk, almond milk, chia seeds, shredded coconut and mango; a delicious breakfast, snack or dessert loaded with protein, fiber and omega-3!"
461,Grilled Chicken Chickpea Salad,https://www.skinnytaste.com/wp-content/uploads/2022/05/Grilled-Chicken-Feta-Chickpea-Salad-6.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Under 30 Minutes']",6,462,"Grilled Chicken Chickpea Salad is a fresh and simple high-protein lunch that can be eaten cold on the go at work, the beach, or anywhere else you’re headed this summer."
462,Grilled Tuna over Arugula with Lemon Vinaigrette,https://www.skinnytaste.com/wp-content/uploads/2011/06/Grilled-Tuna_-5.jpg,"['Low Carb', 'Under 30 Minutes']",1,298,"Grilled Tuna over Arugula with Lemon Vinaigrette is a light summer meal made with a few simple ingredients, ready in under 10 minutes."
463,Watermelon Arugula and Feta Salad,https://www.skinnytaste.com/wp-content/uploads/2011/07/Watermelon-and-Feta-Salad-6.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,157.5,"Watermelon Arugula and Feta Salad is a refreshing summer salad, I love the saltiness of the feta paired with sweet watermelon and peppery arugula!"
464,Berry Cottage Cheese Breakfast Bowl,https://www.skinnytaste.com/wp-content/uploads/2022/06/Very-Berry-Cottage-Cheese-Bowl-10.jpg,"['Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",4,232,"This high-protein Cottage Cheese Breakfast Bowl is loaded with fresh berries and slivered almonds, a great way to start the day!"
465,Chili-Lime Air Fryer Salmon,https://www.skinnytaste.com/wp-content/uploads/2022/05/Chili-_-Lime-Air-Fryer-Salmon-7.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes']",0,262,This Chili-Lime Air Fryer Salmon is seasoned with a blend of spices for maximum flavor that cooks in under 10 minutes.
466,String Beans with Garlic and Oil,https://www.skinnytaste.com/wp-content/uploads/2009/05/String-Beans-with-Garlic-and-Oil-5.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",2,99,"This garlic green bean recipe is a quick, healthy side dish for all you garlic lovers."
467,Tuna Poke Salad,https://www.skinnytaste.com/wp-content/uploads/2022/05/Poke-Salad-6.jpg,"['Dairy Free Recipes', 'High Protein Recipes', 'High-Fiber Recipes', 'Low Carb', 'Under 30 Minutes']",5,404,I’ll be making this high-protein Tuna Poke Salad with Wasabi-Soy Vinaigrette all summer long!
468,Arugula Pasta Salad with Chickpeas and Sun Dried Tomatoes (no mayo),https://www.skinnytaste.com/wp-content/uploads/2012/02/Penne-Arugula-Salad-with-Sun-Dried-Tomatoes-6.jpg,"['Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",7,280,"With spicy arugula, canned chickpeas, sun dried tomatoes, shaved Parmesan and balsamic vinegar, this pasta salad is fresh and delicious and made with no mayo."
469,Honey Sriracha Chicken and Broccoli Meal Prep Bowls,https://www.skinnytaste.com/wp-content/uploads/2019/05/Honey-Sriracha-Chicken-and-Broccoli-Meal-Prep-Bowls-10.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'Meal Prep Recipes', 'Under 30 Minutes']",7,428,"This easy meal-prep honey-sriracha chicken and broccoli dish, which can also be served as a main dish, is made on a sheet pan and comes together quick!"
470,Greek Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2019/06/Greek-Pasta-Salad-4.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,176,"This Greek Pasta Salad is light and fresh, loaded with garden tomatoes, bell peppers and cucumbers tossed in a homemade Greek dressing with Kalamata olives and Feta cheese. Perfect for summer parties or potlucks!"
471,Sous Vide Chicken Breast and a Cilantro Lime Chicken Avocado Salad,https://www.skinnytaste.com/wp-content/uploads/2022/04/Sous-Vide-Chicken-14-1.jpg,"['Dairy Free Recipes', 'High Protein Recipes', 'Low Carb', 'Meal Prep Recipes', 'Whole30 Recipes']",4,329,"This zesty Sous Vide Chicken Salad is fresh and delicious, made with the juiciest chicken breast, avocados, lime juice, and cilantro – and no mayo!"
472,Instant Pot Baked Oatmeal Bars,https://www.skinnytaste.com/wp-content/uploads/2022/05/Instant-Pot-Banana-Bread-Oatmeal-Bars-10.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Pressure Cooker Recipes', 'Vegetarian Meals']",5,266,"Banana bread oatmeal in the Instant Pot? Yes! With this Instant Pot Baked Oatmeal Bars recipe, you can make oatmeal breakfast bars with just a few minutes of hands-on time. They’re a delicious breakfast/brunch or dessert, and perfect for meal prep!"
473,"Seared Scallop Salad with Grapefruit, Arugula and Spinach",https://www.skinnytaste.com/wp-content/uploads/2011/03/Seared-Scallops-Grapefruit-Arugula-and-Spinach-Salad-8-1.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",3,217,Seared scallops with pink grapefruit are wonderful over greens with a champagne vinaigrette as a light salad for lunch or dinner!
474,Burst Tomato Cottage Cheese Caprese Bowl,https://www.skinnytaste.com/wp-content/uploads/2022/05/Burst-Tomato-Cottage-Cheese-Caprese-Bowl-9.jpg,"['Air Fryer Recipes', 'High Protein Recipes', 'Meal Prep Recipes']",6,245,"Burst Tomato Cottage Cheese Caprese Bowl is an easy, savory, high protein lunch that doesn’t require heating up!"
475,Blueberry Frozen Yogurt,https://www.skinnytaste.com/wp-content/uploads/2022/05/Blueberry-Frozen-Yogurt-9.jpg,"['Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",2,76,"Blueberry Frozen Yogurt, made with only five ingredients, including fresh blueberries, is slightly tart and delicious! Make this in your ice cream maker or a Ninja Creami."
476,Buffalo Chicken Salad,https://www.skinnytaste.com/wp-content/uploads/2022/05/Buffalo-Chicken-Salad-8.jpg,"['Dairy Free Recipes', 'Meal Prep Recipes']",7,359,This easy Buffalo Chicken Salad recipe can be made ahead for lunches throughout the week. Great on lettuce wraps or a sandwich!
477,Coconut Chicken Salad with Warm Honey Mustard Vinaigrette,https://www.skinnytaste.com/wp-content/uploads/2011/03/Coconut-Chicken-Salad-7.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",8,397,"Warm oven-fried crispy coconut chicken strips over a bed of baby greens, cucumber, tomato, and shredded carrots topped with a warm honey mustard vinaigrette – the perfect mix of salty and sweet and hot and cold."
478,Grilled Vegetable Orzo Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8.jpg,"['Dairy Free Recipes', 'Kid Friendly', 'Meal Prep Recipes', 'Vegetarian Meals']",7,267,"Grilled vegetables from the farmers market shine in this vegetarian orzo pasta salad, perfect as a side dish or meatless main."
479,Juicy Turkey Burgers with Zucchini,https://www.skinnytaste.com/wp-content/uploads/2015/05/TurkeyZucchiniBurger-550x825.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Low Carb']",4,161,My trick to making the juiciest turkey burgers EVER is to add grated zucchini! A huge bonus if you want your kids to eat more veggies! (It’s also an easy Air fryer recipe!)
480,Italian Turkey Meatballs,https://www.skinnytaste.com/wp-content/uploads/2008/12/Skinny-Italian-Turkey-Meatballs-10.jpg,"['Freezer Meals', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly']",5,280,"We love these juicy, Italian turkey meatballs in homemade tomato sauce. Serve them over your favorite pasta, pizza or sandwich!"
481,"Grilled Chicken Tacos with Lettuce Slaw, Avocado and Cotija",https://www.skinnytaste.com/wp-content/uploads/2015/04/Grilled-Chicken-Tacos-1-6.jpg,"['High-Fiber Recipes', 'Kid Friendly', 'Under 30 Minutes']",8,330,"Grilled chicken tacos piled high with a simple lettuce-tomato slaw, avocado, and Cotija cheese on a charred tortilla are a quick weeknight dinner solution!"
482,Lemon Asparagus Couscous Salad with Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2013/05/Lemon-Asparagus-Couscous-Salad-with-Tomatoes-5.jpg,"['Dairy Free Recipes', 'High-Fiber Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",4,170,"Lemon Asparagus Couscous Salad with Tomatoes makes a vibrant Spring pasta salad, perfect to bring to a potluck or to serve as a BBQ side dish."
483,Latin Yellow Rice,https://www.skinnytaste.com/wp-content/uploads/2008/10/Latin-Yellow-Rice-8.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",6,199,We are big rice eaters in my house and one of my specialties is Latin yellow rice! This is a delicious side dish for any chicken or meat dish!
484,Slow Cooker Chicken Tacos,https://www.skinnytaste.com/wp-content/uploads/2020/04/Slow-Cooker-Chicken-Tacos-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Slow Cooker Recipes']",6,474,"These easy Slow Cooker Chicken Tacos made in the crock pot with chicken breast, salsa, and spices are on repeat in my house!"
485,Spicy Canned Salmon Rice Bowl,https://www.skinnytaste.com/wp-content/uploads/2022/04/Spicy-Canned-Salmon-Salad-Bowl-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Meal Prep Recipes', 'Under 30 Minutes']",6,389,"This quick and easy Sushi-inspired Spicy Canned Salmon Rice Bowl makes an easy high protein, budget-friendly, 5-minute lunch, great for meal prep!"
486,Avocado Quinoa Salad,https://www.skinnytaste.com/wp-content/uploads/2022/04/Avocado-Quinoa-Salad-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",9,443,"Avocado Quinoa Salad is fresh and flavorful, made with cucumbers, tomato, red onion, cilantro and lime juice. A great plant-based lunch or side dish!"
487,Swiss Chard Frittata,https://www.skinnytaste.com/wp-content/uploads/2012/02/Swiss-Chard-Frittata-8.jpg,"['Gluten Free', 'High-Fiber Recipes', 'Low Carb', 'Vegetarian Meals']",1,139,"Swiss Chard Frittata is made with sweet caramelized onions, Swiss chard, eggs and cheese, perfect for breakfast or brunch."
488,Salmon Tikka Masala,https://www.skinnytaste.com/wp-content/uploads/2022/04/Salmon-Tikka-Masala-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",2,283,"This delicious Salmon Tikka Masala, an Indian-inspired dish is simmered in a creamy tomato sauce with coconut milk and spices, perfect served with naan, roti, or over rice."
489,"Warm Salad with Artichoke Hearts, Roasted Peppers, Mozzarella",https://www.skinnytaste.com/wp-content/uploads/2022/04/Warm-Salad-with-Artichoke-Hearts-Roasted-Peppers-and-Mozzarella-9.jpg,"['Gluten Free', 'High-Fiber Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",10,339,"This Warm Salad with sauteed Artichoke Hearts, Roasted Peppers, and fresh Mozzarella with balsamic is served over cold, crunchy romaine lettuce. Great for lunch or dinner!"
490,Air Fryer Empanadas,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20550%20825'%3E%3C/svg%3E","['Air Fryer Recipes', 'Dairy Free Recipes', 'Kid Friendly', 'Under 30 Minutes']",6,183,"These easy Air Fryer Empanadas are filled with homemade beef picadillo – they come out crispy and delicious, much healthier than deep frying!"
491,"Instant Pot Risotto with Prosciutto, Peas, and Herbs",https://www.skinnytaste.com/wp-content/uploads/2022/04/Instant-Pot-Prosciutto-Pea-and-Herb-Risotto-6-1.jpg,"['Gluten Free', 'Pressure Cooker Recipes', 'Under 30 Minutes']",10,329,"This Instant Pot Risotto recipe is the quickest, easiest way to make risotto. It ends up perfectly creamy every time and it’s ready in just 20 minutes."
